timestamp,cmdb_id,span_id,trace_id,duration,type,status_code,operation_name,parent_span
1651334401256,frontend2-0,ae1f84ef1ab23ae3,a749971b1c4db9b41c2d25437c09916e,9853,rpc,0,hipstershop.ProductCatalogService/GetProduct,3c6b1e0f01e91248
1651334401256,frontend2-0,3c6b1e0f01e91248,a749971b1c4db9b41c2d25437c09916e,66427,http,0,hipstershop.Frontend/Recv.,
1651334401257,productcatalogservice2-0,8d12400332a4a5e8,a749971b1c4db9b41c2d25437c09916e,7238,rpc,0,hipstershop.ProductCatalogService/GetProduct,ae1f84ef1ab23ae3
1651334401266,frontend2-0,d83c025b11aeeca4,a749971b1c4db9b41c2d25437c09916e,2415,rpc,0,hipstershop.CurrencyService/GetSupportedCurrencies,3c6b1e0f01e91248
1651334401267,currencyservice2-0,fa716f96e7d8d31e,a749971b1c4db9b41c2d25437c09916e,125,telemetry,0,grpc.hipstershop.CurrencyService/GetSupportedCurrencies,d83c025b11aeeca4
1651334401269,frontend2-0,ee884163e6110263,a749971b1c4db9b41c2d25437c09916e,3568,rpc,0,hipstershop.CartService/GetCart,3c6b1e0f01e91248
1651334401270,cartservice2-0,2a17ce6db9443b4c,a749971b1c4db9b41c2d25437c09916e,0,db,Ok,HGET,a06bfc45c9c64f4c
1651334401270,cartservice2-0,a06bfc45c9c64f4c,a749971b1c4db9b41c2d25437c09916e,1000,http,200,/hipstershop.CartService/GetCart,ee884163e6110263
1651334401272,frontend2-0,9a442b6c339a8870,a749971b1c4db9b41c2d25437c09916e,2065,rpc,0,hipstershop.CurrencyService/Convert,3c6b1e0f01e91248
1651334401273,currencyservice2-0,1dff7a04d86cd0a2,a749971b1c4db9b41c2d25437c09916e,119,telemetry,0,grpc.hipstershop.CurrencyService/Convert,9a442b6c339a8870
